seq,ts_ns,event,order_id,side,type,price,quantity
409,34222996307825,NEW,1127474,SELL,LIMIT,516700,100
410,34223006043304,NEW,1127646,BUY,LIMIT,515600,11
411,34223006310322,NEW,1127662,BUY,LIMIT,515500,11
412,34223394877163,CANCEL,1127474,SELL,LIMIT,516700,100
413,34223394877163,NEW,900000000040,BUY,MARKET,,100
414,34223395034299,CANCEL,1127662,BUY,LIMIT,515500,11
415,34223542060890,NEW,1132246,SELL,LIMIT,521200,900
416,34223830428652,NEW,1134954,SELL,LIMIT,516800,100
417,34223830879183,NEW,1135010,BUY,LIMIT,516400,11
418,34224694928204,CANCEL,1134954,SELL,LIMIT,516800,100
419,34225003773512,NEW,1147370,SELL,LIMIT,516700,10
420,34225003779534,CANCEL,1127646,BUY,LIMIT,515600,11
421,34225003788450,CANCEL,1103190,BUY,LIMIT,515700,11
422,34225003822519,NEW,1147374,SELL,LIMIT,516800,100
423,34225004002375,CANCEL,1074850,SELL,LIMIT,517400,5
424,34225004003566,CANCEL,1074878,SELL,LIMIT,517500,5
425,34225004004922,CANCEL,1074958,SELL,LIMIT,517600,5
426,34225004689136,CANCEL,1147374,SELL,LIMIT,516800,100
427,34225007562047,CANCEL,1135010,BUY,LIMIT,516400,11
428,34225026276993,CANCEL,1074810,BUY,LIMIT,516300,11
429,34225026283244,NEW,1147782,SELL,LIMIT,516500,21
430,34225026293571,NEW,1147786,SELL,LIMIT,516600,100
431,34225026525280,CANCEL,1039834,SELL,LIMIT,517200,9
432,34225026525620,CANCEL,1039842,SELL,LIMIT,517300,9
433,34225026538014,NEW,1147802,BUY,LIMIT,515600,21
434,34225027493688,NEW,1147810,BUY,LIMIT,515400,21
435,34225028597996,CANCEL,1147786,SELL,LIMIT,516600,100
436,34225774896099,CANCEL,1039926,BUY,LIMIT,516100,11
437,34225774907206,NEW,1153314,SELL,LIMIT,516400,21
438,34225775113159,NEW,1153318,BUY,LIMIT,515200,10
439,34225779687167,NEW,1153358,SELL,LIMIT,516300,100
440,34225780566483,CANCEL,1153358,SELL,LIMIT,516300,100
441,34225812585363,NEW,1153682,SELL,LIMIT,516300,100
442,34225814684555,CANCEL,1010410,BUY,LIMIT,516000,2
443,34225814684555,NEW,900000000041,SELL,MARKET,,2
444,34225814760497,NEW,1153706,SELL,LIMIT,516200,21
445,34225814799757,CANCEL,1153682,SELL,LIMIT,516300,100
446,34225814804674,NEW,1153714,SELL,LIMIT,516100,100
