seq,ts_ns,event,order_id,side,type,price,quantity
40227,36421784298196,NEW,14875161,SELL,LIMIT,2082800,25
40228,36421784408925,NEW,14875165,SELL,LIMIT,2082900,25
40229,36421835009692,CANCEL,14875161,SELL,LIMIT,2082800,25
40230,36421835012183,CANCEL,14875165,SELL,LIMIT,2082900,25
40231,36421835120239,NEW,14875317,BUY,LIMIT,2082000,25
40232,36421835290353,CANCEL,14813053,BUY,LIMIT,2081500,25
40233,36421934691234,NEW,14875845,BUY,LIMIT,2082100,25
40234,36421934693746,NEW,14875849,SELL,LIMIT,2082800,25
40235,36421993150519,CANCEL,14855601,SELL,LIMIT,2082400,10
40236,36421993156189,NEW,14876357,BUY,LIMIT,2082200,25
40237,36421993310045,NEW,14876361,SELL,LIMIT,2082900,5
40238,36421993781156,NEW,14876365,SELL,LIMIT,2083000,15
40239,36421994036814,NEW,14876373,SELL,LIMIT,2083100,15
40240,36421994459551,NEW,14876385,SELL,LIMIT,2083200,15
40241,36421994586860,CANCEL,14874845,SELL,LIMIT,2082500,25
40242,36421994707639,CANCEL,14876373,SELL,LIMIT,2083100,15
40243,36421994707941,CANCEL,14876385,SELL,LIMIT,2083200,15
40244,36422005973539,NEW,14876457,SELL,LIMIT,2083100,25
40245,36422006139956,NEW,14876461,SELL,LIMIT,2083200,25
40246,36422006393506,NEW,14876465,SELL,LIMIT,2083300,25
40247,36422013204771,CANCEL,14876457,SELL,LIMIT,2083100,25
40248,36422013205907,CANCEL,14876461,SELL,LIMIT,2083200,25
40249,36422013207268,CANCEL,14876465,SELL,LIMIT,2083300,25
40250,36422070112614,NEW,14876789,SELL,LIMIT,2082500,100
40251,36423077268474,CANCEL,14876789,SELL,LIMIT,2082500,100
40252,36423077268474,NEW,900000000808,BUY,MARKET,,100
40253,36423077659833,CANCEL,14875149,SELL,LIMIT,2082600,25
40254,36423078499997,NEW,14880409,SELL,LIMIT,2083100,25
40255,36423104611946,CANCEL,14796797,BUY,LIMIT,2078100,100
40256,36423104615174,CANCEL,14779741,SELL,LIMIT,2085800,100
40257,36423271786174,CANCEL,14875157,SELL,LIMIT,2082700,25
40258,36423272061593,NEW,14881269,BUY,LIMIT,2082500,25
40259,36423272165298,CANCEL,14875153,BUY,LIMIT,2081900,25
40260,36423282386125,CANCEL,14881269,BUY,LIMIT,2082500,25
40261,36423282393425,NEW,14881297,SELL,LIMIT,2083200,25
40262,36423282529555,NEW,14881301,SELL,LIMIT,2083300,25
40263,36423283314272,CANCEL,14881301,SELL,LIMIT,2083300,25
40264,36423283314649,CANCEL,14881297,SELL,LIMIT,2083200,25
40265,36423295872729,CANCEL,14880409,SELL,LIMIT,2083100,25
40266,36423422055164,NEW,14881753,SELL,LIMIT,2083100,25
40267,36423422527198,CANCEL,14881753,SELL,LIMIT,2083100,25
40268,36423455832509,CANCEL,14873929,BUY,LIMIT,2081700,600
40269,36423540189332,NEW,14882289,SELL,LIMIT,2083100,25
40270,36423540349168,NEW,14882293,SELL,LIMIT,2083200,25
40271,36423540595514,NEW,14882297,SELL,LIMIT,2083300,25
40272,36423540821405,CANCEL,14882293,SELL,LIMIT,2083200,25
40273,36423540822526,CANCEL,14882297,SELL,LIMIT,2083300,25
40274,36423541582155,NEW,14882305,SELL,LIMIT,2083200,25
40275,36423541700161,NEW,14882309,SELL,LIMIT,2083300,25
40276,36423541848306,NEW,14882317,SELL,LIMIT,2083400,25
40277,36423597894795,CANCEL,14882309,SELL,LIMIT,2083300,25
40278,36423597895931,CANCEL,14882317,SELL,LIMIT,2083400,25
40279,36423598176963,NEW,14882777,BUY,LIMIT,2082500,25
40280,36423598281591,CANCEL,14875849,SELL,LIMIT,2082800,25
40281,36423598284102,CANCEL,14875317,BUY,LIMIT,2082000,25
40282,36424226921177,CANCEL,14882777,BUY,LIMIT,2082500,25
40283,36424227748058,CANCEL,14882305,SELL,LIMIT,2083200,25
40284,36425084928595,CANCEL,14882289,SELL,LIMIT,2083100,25
40285,36425643291658,NEW,14890045,BUY,LIMIT,2082000,25
40286,36425660644900,NEW,14890117,BUY,LIMIT,2081900,25
40287,36425668585395,NEW,14890137,BUY,LIMIT,2081800,25
40288,36425668714208,NEW,14890141,BUY,LIMIT,2081700,25
40289,36425670538372,NEW,14890149,BUY,LIMIT,2081600,25
40290,36425950688055,CANCEL,14890137,BUY,LIMIT,2081800,25
40291,36425950689191,CANCEL,14890141,BUY,LIMIT,2081700,25
40292,36425950690559,CANCEL,14890149,BUY,LIMIT,2081600,25
40293,36425951181545,NEW,14891169,BUY,LIMIT,2081800,25
40294,36425961717085,NEW,14891181,BUY,LIMIT,2081700,25
40295,36425962195114,NEW,14891189,BUY,LIMIT,2081600,25
40296,36426133259633,CANCEL,14891169,BUY,LIMIT,2081800,25
40297,36426133260746,CANCEL,14891181,BUY,LIMIT,2081700,25
40298,36426133261087,CANCEL,14891189,BUY,LIMIT,2081600,25
40299,36426195737907,NEW,14892441,SELL,LIMIT,2083100,25
40300,36426242854256,NEW,14892989,SELL,LIMIT,2083200,25
40301,36426245813237,NEW,14893009,SELL,LIMIT,2083300,25
